date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 영업용
2020-12,"23,432","142,936","157,252","27,674","29,042","51,936","28,066","169,088","250,752","1,256","16,316","619,080","232,974","35,776","438,910","26,942","30,100","2,281,532"
2021-01,"23,276","142,112","159,040","27,558","28,770","51,848","28,386","170,596","249,860","1,268","16,118","611,576","240,702","35,488","442,308","26,598","30,378","2,285,882"
2021-02,"23,240","141,544","161,554","27,492","28,552","51,704","28,372","171,086","248,294","1,264","16,130","604,636","248,542","35,084","447,552","26,612","30,770","2,292,428"
2021-03,"23,140","140,898","164,604","27,526","28,340","51,868","28,188","172,126","248,050","1,266","16,012","599,878","256,726","34,654","454,190","26,618","30,960","2,305,044"
2021-04,"23,390","140,492","166,692","27,318","28,230","51,590","28,294","174,458","247,414","1,308","15,926","585,598","276,380","34,158","462,074","26,812","30,712","2,320,846"
2021-05,"23,294","141,188","167,252","27,720","28,674","51,770","28,420","177,554","247,068","1,428","15,896","580,156","282,728","33,940","467,908","26,764","31,418","2,333,178"
2021-06,"23,474","142,514","167,964","27,728","28,700","51,826","28,706","181,240","247,174","1,468","15,902","577,178","291,150","34,116","474,056","26,822","31,876","2,351,894"
2021-07,"23,538","142,662","169,206","27,714","28,592","51,912","28,874","184,006","246,478","1,498","15,918","575,404","297,148","33,652","479,790","26,972","31,828","2,365,192"
2021-08,"23,662","147,268","169,640","27,782","28,540","52,042","29,222","186,000","246,504","1,576","15,854","569,592","300,512","33,314","482,954","26,846","32,182","2,373,490"
2021-09,"23,730","146,646","170,468","27,708","28,782","52,188","29,342","188,094","247,780","1,610","15,866","553,172","318,200","32,972","486,486","26,856","32,184","2,382,084"
2021-10,"23,592","145,356","170,996","27,574","28,570","51,816","29,406","189,872","247,338","1,624","15,840","548,538","322,864","32,740","489,460","26,762","32,432","2,384,780"
2021-11,"23,536","145,034","171,640","27,542","28,468","50,952","29,378","193,056","250,590","1,680","15,684","548,126","326,194","32,530","493,582","26,818","32,188","2,396,998"
2021-12,"23,460","144,450","172,482","27,560","28,512","50,956","29,464","196,588","252,116","1,712","15,688","543,824","339,750","32,560","497,088","27,578","31,888","2,415,676"
2022-01,"23,588","145,958","174,746","27,484","28,518","51,146","29,580","199,646","250,842","1,716","15,688","545,240","340,480","32,358","501,472","27,548","31,766","2,427,776"
2022-02,"23,542","145,702","175,690","27,504","28,424","51,300","29,828","203,238","252,534","1,720","15,742","544,622","342,570","32,006","504,260","27,734","32,076","2,438,492"
2022-03,"23,758","146,078","179,808","27,542","28,734","51,574","30,762","207,574","252,078","1,752","15,822","543,856","342,826","31,976","507,728","27,230","32,660","2,451,758"
2022-04,"23,868","147,198","182,620","27,530","28,770","51,658","31,496","210,404","250,756","1,824","15,808","539,990","351,098","31,916","512,368","27,356","32,922","2,467,582"
2022-05,"24,058","147,562","185,664","27,626","28,868","51,998","32,000","212,318","251,510","1,846","15,818","540,248","355,774","31,616","516,484","27,272","33,096","2,483,758"
2022-06,"24,164","148,068","189,232","27,602","28,752","52,126","32,084","215,058","252,320","1,996","15,828","537,982","361,680","31,202","517,944","27,292","33,046","2,496,376"
2022-07,"24,272","149,210","195,964","27,572","28,962","53,056","32,854","216,128","252,302","2,022","15,092","536,858","367,646","30,868","521,172","27,554","33,448","2,514,980"
2022-08,"24,654","149,294","197,554","27,584","28,832","53,590","33,244","217,770","253,670","2,060","15,046","533,090","369,920","30,690","523,256","27,498","33,578","2,521,330"
2022-09,"24,718","154,524","197,302","27,456","28,686","53,770","33,820","220,514","252,266","2,170","14,914","524,730","374,168","30,520","523,720","27,616","33,764","2,524,658"
2022-10,"24,694","155,994","199,062","27,496","28,964","53,758","34,006","223,110","252,128","2,148","14,910","497,218","406,284","30,356","525,390","27,294","34,042","2,536,854"
2022-11,"24,704","155,884","204,926","27,250","29,016","54,142","34,000","225,838","251,198","2,280","14,850","480,306","419,612","29,902","527,118","27,108","34,090","2,542,224"
2022-12,"24,872","155,504","212,546","27,090","28,794","54,260","33,884","228,258","250,862","2,290","14,746","472,132","417,280","29,872","526,422","26,872","33,742","2,539,426"
2023-01,"24,924","154,356","212,116","27,082","28,716","54,876","34,048","230,548","249,640","2,314","14,684","470,646","413,412","29,570","528,130","26,856","34,748","2,536,666"
2023-02,"24,592","153,580","211,038","27,046","28,592","55,232","34,522","232,350","248,196","2,300","14,650","468,362","410,758","28,990","529,164","27,668","35,372","2,532,412"
2023-03,"24,784","152,092","207,600","26,986","28,676","55,406","34,634","234,092","249,620","2,164","14,598","464,520","406,910","28,662","529,590","27,460","35,260","2,523,054"
2023-04,"24,932","153,976","206,842","27,298","28,594","56,008","34,926","236,026","247,238","2,174","14,820","465,240","403,654","28,422","530,750","27,818","35,716","2,524,434"
2023-05,"25,102","154,096","210,846","27,356","28,180","56,400","35,202","237,734","244,910","2,166","14,766","463,394","408,060","28,080","531,658","27,574","35,356","2,530,880"
2023-06,"24,986","153,988","215,500","27,204","28,034","56,816","37,204","237,990","244,572","2,198","14,766","470,860","400,016","27,890","531,790","27,340","35,030","2,536,184"
2023-07,"24,802","153,556","219,094","26,954","28,066","57,450","38,916","239,592","242,686","2,182","14,834","482,264","387,608","27,584","533,698","27,210","34,780","2,541,276"
2023-08,"24,842","153,906","220,016","27,054","28,120","57,792","40,312","241,214","241,492","2,178","14,926","476,726","386,998","27,708","533,856","27,286","35,052","2,539,478"
2023-09,"24,956","154,270","220,178","27,052","27,990","58,036","42,124","243,082","241,088","2,200","14,886","474,242","389,054","27,774","536,450","27,172","35,762","2,546,316"
2023-10,"24,922","153,826","221,914","27,016","27,924","57,834","43,662","244,008","241,846","2,198","14,832","469,184","390,946","27,636","536,932","26,994","34,924","2,546,598"
2023-11,"24,968","159,952","225,198","26,888","27,784","57,998","46,078","245,154","240,140","2,184","14,788","457,428","393,134","27,542","536,098","27,084","35,398","2,547,816"
2023-12,"25,214","158,818","226,308","26,784","27,632","57,890","48,264","245,790","238,688","2,268","14,944","456,354","396,280","27,326","535,418","26,898","35,978","2,550,854"
2024-01,"25,108","159,364","226,138","26,688","27,876","58,172","50,496","246,794","237,868","2,258","14,912","454,122","395,232","27,248","534,628","27,072","35,854","2,549,830"
2024-02,"25,030","159,072","228,150","26,612","27,682","58,086","51,414","248,062","235,860","2,254","14,902","451,772","395,400","26,984","532,840","27,058","35,644","2,546,822"
2024-03,"24,990","157,670","229,956","26,584","27,774","58,194","52,632","249,978","234,598","2,156","14,852","451,954","395,132","26,754","533,730","26,906","35,304","2,549,164"
2024-04,"24,810","156,680","230,178","26,630","27,648","58,308","53,748","252,672","233,574","2,170","14,786","451,862","398,070","26,630","536,700","26,900","34,976","2,556,342"
2024-05,"24,818","156,274","229,492","26,652","27,694","58,638","55,092","255,494","232,582","2,190","14,798","456,074","400,448","26,466","536,322","26,868","34,694","2,564,596"
2024-06,"24,892","156,104","230,984","26,790","27,858","59,416","57,742","258,164","234,738","2,410","14,846","454,246","400,656","26,288","538,274","26,530","34,452","2,574,390"
