date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 영업용
2022-01,"6,092","63,340","14,552","10,632","4,710","7,736","4,262","12,010","29,950",934,"3,836","18,444","15,826","8,106","13,640","10,652","7,492","232,214"
2022-02,"6,062","63,362","14,462","10,638","4,702","7,704","4,260","12,020","29,982",932,"3,822","18,284","15,788","8,094","13,606","10,630","7,482","231,830"
2022-03,"6,056","63,304","14,398","10,610","4,694","7,716","4,276","12,040","30,030",932,"3,834","18,098","15,624","8,048","13,554","10,646","7,442","231,302"
2022-04,"6,058","63,190","14,350","10,622","4,704","7,708","4,286","12,056","30,088",904,"3,850","17,774","15,840","8,052","13,528","10,640","7,432","231,082"
2022-05,"6,056","63,246","14,306","10,636","4,786","7,694","4,312","12,052","30,158",924,"3,848","17,602","15,884","8,016","13,506","10,594","7,462","231,082"
2022-06,"6,056","63,358","14,256","10,634","4,716","7,702","4,318","12,060","30,314",916,"3,864","17,284","15,946","8,002","13,440","10,576","7,460","230,902"
2022-07,"6,054","63,350","14,188","10,630","4,748","7,696","4,316","12,060","30,336",940,"3,870","17,210","16,046","8,000","13,406","10,588","7,434","230,872"
2022-08,"6,000","63,468","14,182","10,616","4,692","7,712","4,320","12,090","30,380",938,"3,876","17,080","16,290","7,966","13,458","10,678","7,444","231,190"
2022-09,"6,008","63,430","14,118","10,620","4,686","7,702","4,342","12,132","30,412",936,"3,874","16,776","16,568","7,956","13,400","10,632","7,430","231,022"
2022-10,"5,992","63,546","14,094","10,620","4,684","7,716","4,378","12,218","30,414",934,"3,882","16,824","16,598","7,976","13,394","10,552","7,464","231,286"
2022-11,"6,006","63,510","14,392","10,624","4,680","7,736","4,384","12,216","30,464",936,"3,888","15,874","17,212","7,990","13,444","10,554","7,490","231,400"
2022-12,"5,980","63,626","14,718","10,622","4,636","7,704","4,346","12,252","30,442",960,"3,862","15,452","17,110","8,026","13,358","10,608","7,460","231,162"
2023-01,"5,982","63,556","14,672","10,616","4,630","7,696","4,344","12,264","30,422",958,"3,868","15,272","16,878","7,996","13,342","10,612","7,452","230,560"
2023-02,"5,990","63,532","14,642","10,628","4,628","7,680","4,386","12,336","30,370",928,"3,862","15,186","16,730","7,976","13,334","10,604","7,482","230,294"
2023-03,"6,020","63,668","14,646","10,648","4,626","7,696","4,400","12,368","30,458",922,"3,888","15,074","16,840","7,936","13,310","10,618","7,472","230,590"
2023-04,"6,040","63,730","14,614","10,632","4,634","7,720","4,432","12,438","30,386",928,"3,916","14,964","16,800","7,926","13,446","10,642","7,492","230,740"
2023-05,"6,054","63,704","14,548","10,652","4,624","7,738","4,432","12,450","30,324",946,"3,908","14,752","17,036","7,914","13,456","10,618","7,478","230,634"
2023-06,"6,100","64,038","14,496","10,666","4,616","7,748","4,412","12,504","30,312",946,"3,902","14,704","16,780","7,956","13,446","10,636","7,500","230,762"
2023-07,"6,070","64,022","14,500","10,640","4,626","7,798","4,456","12,484","30,292",962,"3,900","14,596","16,822","7,960","13,428","10,552","7,488","230,596"
2023-08,"6,080","64,018","14,488","10,638","4,628","7,790","4,456","12,450","30,178",976,"3,880","14,458","16,634","7,968","13,416","10,542","7,528","230,128"
2023-09,"6,084","64,068","14,436","10,630","4,638","7,776","4,458","12,464","30,086",998,"3,870","14,306","16,666","7,948","13,396","10,514","7,504","229,842"
2023-10,"6,052","64,110","14,428","10,636","4,632","7,796","4,478","12,474","29,992",984,"3,868","14,254","16,714","7,954","13,230","10,476","7,534","229,612"
2023-11,"6,006","63,958","14,380","10,614","4,634","7,778","4,470","12,428","29,840","1,004","3,878","14,146","16,574","7,896","13,098","10,510","7,548","228,762"
2023-12,"5,998","64,396","14,348","10,544","4,630","7,826","4,456","12,398","29,744","1,004","3,882","14,190","16,506","7,922","13,022","10,492","7,534","228,892"
2024-01,"6,010","64,338","14,328","10,460","4,606","7,820","4,464","12,416","29,718","1,004","3,864","14,282","16,170","7,926","12,992","10,516","7,532","228,446"
2024-02,"6,046","64,308","14,232","10,484","4,590","7,802","4,470","12,430","29,762","1,024","3,880","14,294","16,032","7,928","12,970","10,474","7,506","228,232"
2024-03,"6,044","63,950","14,244","10,484","4,564","7,800","4,490","12,434","29,722","1,008","3,886","14,258","15,866","7,930","13,002","10,460","7,518","227,660"
2024-04,"6,030","63,928","14,298","10,502","4,582","7,816","4,518","12,472","29,758","1,044","3,914","14,290","16,154","7,918","13,052","10,450","7,528","228,254"
2024-05,"6,034","63,908","14,282","10,480","4,582","7,808","4,524","12,440","29,802","1,094","3,884","14,382","16,258","7,830","13,092","10,488","7,552","228,440"
2024-06,"6,030","63,940","14,222","10,436","4,582","7,814","4,532","12,434","29,740","1,148","3,882","14,410","16,272","7,836","13,102","10,504","7,538","228,422"
